PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,TEAM_ID,GP,W,L,W_PCT,MIN,PTS,REB,AST,STL,BLK,TOV,FG_PCT,FG3_PCT,FT_PCT,PLUS_MINUS,salary
1630639,A.J. Lawson,TOR,1610612761,26,14,12,0.538,486.41,236,86,31,13,6,15,0.421,0.327,0.683,-17,660121.0
1631260,AJ Green,MIL,1610612749,73,44,29,0.603,1659.1416666666669,541,174,108,37,7,40,0.429,0.427,0.815,227,2301587.0
1642358,AJ Johnson,WAS,1610612764,29,8,21,0.276,638.3866666666667,220,59,76,12,3,35,0.385,0.267,0.865,-152,3090480.0
203932,Aaron Gordon,DEN,1610612743,51,33,18,0.647,1446.7166666666667,748,247,164,23,14,73,0.531,0.436,0.81,301,22841455.0
1628988,Aaron Holiday,HOU,1610612745,62,39,23,0.629,792.2466666666667,340,78,83,19,11,37,0.437,0.398,0.829,88,3080921.0
1630174,Aaron Nesmith,IND,1610612754,45,29,16,0.644,1121.618333333333,541,178,54,35,17,37,0.507,0.431,0.913,198,11000000.0
1630598,Aaron Wiggins,OKC,1610612760,76,62,14,0.816,1743.9,914,295,134,60,18,69,0.488,0.383,0.831,514,10102803.0
1641745,Adam Flagler,OKC,1610612760,37,34,3,0.919,202.965,65,27,12,8,3,4,0.26,0.194,0.5,7,
1641766,Adama Sanogo,CHI,1610612741,4,2,2,0.5,21.498333333333335,8,6,1,0,0,1,0.571,0.0,0.0,-5,
1641737,Adem Bona,PHI,1610612755,58,12,46,0.207,904.55,337,245,27,26,69,61,0.703,0.0,0.67,-112,1955377.0
1642349,Ajay Mitchell,OKC,1610612760,36,31,5,0.861,596.955,234,68,64,25,4,29,0.495,0.383,0.829,127,3000000.0
201143,Al Horford,BOS,1610612738,60,44,16,0.733,1658.5733333333333,538,369,128,36,51,46,0.423,0.363,0.895,397,5685000.0
202692,Alec Burks,MIA,1610612748,49,26,23,0.531,863.4966666666667,356,124,55,28,7,29,0.424,0.425,0.776,110,
1627936,Alex Caruso,OKC,1610612760,54,44,10,0.815,1040.635,382,159,137,87,30,37,0.446,0.353,0.824,321,18102100.0
1642505,Alex Ducas,OKC,1610612760,21,20,1,0.952,125.34166666666668,36,26,5,5,0,4,0.4,0.476,1.0,-22,
203458,Alex Len,LAL,1610612747,46,21,25,0.457,379.79,74,95,38,9,21,20,0.508,0.222,0.471,-153,
1642024,Alex Reese,PHI,1610612755,15,4,11,0.267,216.04666666666665,76,47,4,10,10,6,0.481,0.366,0.75,19,
1642259,Alex Sarr,WAS,1610612764,67,13,54,0.194,1814.2283333333332,869,435,161,44,101,114,0.394,0.308,0.679,-546,11808240.0
1631214,Alondes Williams,LAC,1610612746,1,0,1,0.0,3.716666666666667,5,0,1,0,0,0,1.0,1.0,0.0,6,136717.0
1630578,Alperen Sengun,HOU,1610612745,76,52,24,0.684,2394.9766666666665,1451,786,372,84,61,194,0.496,0.233,0.692,410,33944954.0
1641708,Amen Thompson,HOU,1610612745,69,43,26,0.623,2225.415,970,564,265,97,89,138,0.557,0.275,0.684,268,9690212.0
1629599,Amir Coffey,LAC,1610612746,72,41,31,0.569,1747.54,696,161,77,40,7,45,0.471,0.409,0.891,-66,2874436.0
203083,Andre Drummond,PHI,1610612755,40,12,28,0.3,750.6333333333333,293,310,34,39,18,55,0.5,0.15,0.622,-245,5000000.0
1641748,Andre Jackson Jr.,MIL,1610612749,67,39,28,0.582,980.0916666666668,230,182,83,34,14,58,0.477,0.395,0.5,-33,
1629614,Andrew Nembhard,IND,1610612754,65,44,21,0.677,1880.67,653,216,326,79,11,112,0.458,0.291,0.794,204,18102000.0
203952,Andrew Wiggins,MIA,1610612748,60,27,33,0.45,1842.2816666666668,1078,269,158,60,50,99,0.448,0.374,0.763,-100,28223215.0
1629014,Anfernee Simons,POR,1610612757,70,28,42,0.4,2291.8983333333335,1348,189,337,60,5,143,0.426,0.363,0.902,-220,27678571.0
1641710,Anthony Black,ORL,1610612753,78,39,39,0.5,1886.993333333333,736,230,240,86,48,139,0.423,0.318,0.761,-40,7970028.0
203076,Anthony Davis,DAL,1610612742,51,30,21,0.588,1705.4883333333332,1261,590,181,59,110,113,0.516,0.282,0.775,25,54126450.0
1630162,Anthony Edwards,MIN,1610612750,79,48,31,0.608,2871.0583333333334,2177,450,359,91,51,249,0.447,0.395,0.837,291,45550512.0
1630264,Anthony Gill,WAS,1610612764,51,7,44,0.137,397.575,129,66,16,9,2,10,0.489,0.323,0.66,-73,2667947.0
1641817,Anton Watson,NYK,1610612752,9,5,4,0.556,22.166666666666668,8,3,2,1,0,2,0.444,0.0,0.0,-9,
1641810,Antonio Reeves,NOP,1610612740,44,6,38,0.136,659.5583333333333,305,63,39,21,4,30,0.456,0.395,0.8,-150,
1630574,Ariel Hukporti,NYK,1610612752,25,17,8,0.68,217.365,48,51,11,1,15,21,0.677,0.0,0.462,-63,1955377.0
1642422,Armel Traore,LAL,1610612747,9,5,4,0.556,66.66666666666667,14,15,1,4,2,3,0.316,0.0,0.286,-49,
1641709,Ausar Thompson,DET,1610612765,59,34,25,0.576,1327.715,594,303,134,98,40,80,0.535,0.224,0.641,67,8775162.0
1630559,Austin Reaves,LAL,1610612747,73,46,27,0.63,2550.0916666666667,1475,329,421,81,22,177,0.46,0.377,0.877,195,13937574.0
1630245,Ayo Dosunmu,CHI,1610612741,46,17,29,0.37,1393.8833333333334,566,161,208,43,18,69,0.492,0.328,0.785,-234,7518518.0
1628389,Bam Adebayo,MIA,1610612748,78,36,42,0.462,2673.693333333333,1410,749,337,98,53,161,0.485,0.357,0.765,27,37096620.0
1631248,Baylor Scheierman,BOS,1610612738,31,27,4,0.871,383.8883333333333,113,65,33,17,2,12,0.355,0.317,0.75,29,2619000.0
1641767,Ben Sheppard,IND,1610612754,63,40,23,0.635,1229.5583333333334,332,177,85,38,14,22,0.418,0.342,0.889,-59,2790720.0
1627732,Ben Simmons,LAC,1610612746,51,26,25,0.51,1119.6933333333334,256,241,285,38,23,102,0.52,0.0,0.727,-56,
1631097,Bennedict Mathurin,IND,1610612754,72,43,29,0.597,2149.318333333333,1156,383,136,47,24,135,0.458,0.34,0.831,94,9187573.0
