rank,player,salary
1,Stephen Curry,59606817
T2,Nikola Jokic,55224526
T2,Joel Embiid,55224526
4,Kevin Durant,54708608
T5,Anthony Davis,54126450
T5,Jimmy Butler,54126450
T5,Jayson Tatum,54126450
T5,G. Antetokounmpo,54126450
T9,K. Towns,53142264
T9,Jaylen Brown,53142264
T9,Devin Booker,53142264
12,LeBron James,52627153
13,Paul George,51666090
14,Kawhi Leonard,50000000
15,Zach LaVine,47499660
T16,Trae Young,46394100
T16,Lauri Markkanen,46394100
T16,Donovan Mitchell,46394100
T16,Cade Cunningham,46394100
T16,Evan Mobley,46394100
T16,Jamal Murray,46394100
22,Luka Doncic,45999660
T23,Pascal Siakam,45550512
T23,T. Haliburton,45550512
T23,Anthony Edwards,45550512
26,Domantas Sabonis,42336000
27,OG Anunoby,39568966
T28,Darius Garland,39446090
T28,Zion Williamson,39446090
T28,Ja Morant,39446090
31,James Harden,39182693
T32,Scottie Barnes,38661700
T32,Franz Wagner,38661700
T34,Michael Porter,38333050
T34,S. Gilgeous-Alexander,38333050
36,Brandon Ingram,38095238
T37,LaMelo Ball,37958760
T37,Tyrese Maxey,37958760
T39,De'Aaron Fox,37096620
T39,Bam Adebayo,37096620
41,Desmond Bane,36725670
42,Kyrie Irving,36566002
43,Khris Middleton,35086419
T44,Jaren Jackson Jr,35000000
T44,Rudy Gobert,35000000
T44,Jalen Suggs,35000000
47,Jalen Brunson,34944001
48,Alperen Sengun,33944954
49,Jalen Green,33333333
50,I. Quickley,32500000
51,Jrue Holiday,32400000
52,Jerami Grant,32000001
53,Jordan Poole,31848215
54,Tyler Herro,31000000
55,Julius Randle,30864198
56,Dejounte Murray,30801103
57,K. Porzingis,30731707
58,CJ McCollum,30666666
59,Jalen Johnson,30000000
60,I. Hartenstein,28500000
61,Andrew Wiggins,28223215
62,Derrick White,28100000
63,RJ Barrett,27705357
64,Anfernee Simons,27678571
65,Devin Vassell,27000000
66,Terry Rozier,26643031
67,Tobias Harris,26634146
68,John Collins,26580000
69,Draymond Green,25892857
70,Deandre Ayton,25550814
71,Nicolas Claxton,25541760
72,Myles Turner,25318251
T73,Fred VanVleet,25000000
T73,Miles Bridges,25000000
T73,Josh Giddey,25000000
T73,Trey Murphy,25000000
77,Mikal Bridges,24900000
78,DeMar DeRozan,24570000
79,Jaden McDaniels,24393104
80,De'Andre Hunter,23303571
81,Aaron Gordon,22841455
82,Kyle Kuzma,22560605
83,Damian Lillard,22516603
84,Jonathan Kuminga,22500000
85,Dillon Brooks,22124110
86,K. Caldwell-Pope,21621500
87,Naz Reid,21551724
88,Nikola Vucevic,21481481
89,Cameron Johnson,21057065
90,Norman Powell,20482758
91,Jarrett Allen,20000000
92,Jakob Poeltl,19500000
93,Josh Hart,19472240
94,Bradley Beal,19383010
95,Jusuf Nurkic,19375000
96,Collin Sexton,19175000
97,Harrison Barnes,19000000
98,Malik Monk,18797619
99,Santiago Aldama,18485916
100,Rui Hachimura,18259259
101,Luguentz Dort,18222222
102,Alex Caruso,18102100
T103,Ivica Zubac,18102000
T103,Andrew Nembhard,18102000
105,Zach Collins,18080496
106,Patrick Williams,18000000
107,Kevin Huerter,17991071
108,Keldon Johnson,17500000
109,Grayson Allen,16875000
110,Duncan Robinson,16834692
111,Klay Thompson,16666667
112,B. Bogdanovic,16020000
113,Max Strus,15936452
114,Terance Mann,15500000
115,Paolo Banchero,15334769
116,N. Alexander-Walker,15161800
T117,Isaiah Stewart,15000000
T117,Onyeka Okongwu,15000000
T117,Jonathan Isaac,15000000
120,Marcus Smart,14786855
121,Daniel Gafford,14386320
122,Deni Avdija,14375000
123,PJ Washington,14152174
124,Steven Adams,14130434
T125,Dennis Schroeder,14104000
T125,Caris LeVert,14104000
128,Obi Toppin,14000000
129,Corey Kispert,13975000
T130,Herb Jones,13937574
T130,Austin Reaves,13937574
132,Cooper Flagg,13825920
133,Chet Holmgren,13731368
134,Josh Green,13666667
135,Grant Williams,13645500
136,Bobby Portis,13445754
137,Kelly Olynyk,13445122
138,V. Wembanyama,13376695
139,Robert Williams,13285713
140,Z. Risacher,13197720
141,M. Robinson,12954546
142,Coby White,12888889
143,D. Finney-Smith,12700000
144,Brandon Clarke,12500000
145,Dylan Harper,12370200
146,Isaiah Joe,12362338
147,Jabari Smith,12350392
148,Donte DiVincenzo,11990000
149,Brandon Miller,11968400
150,Alex Sarr,11808240
151,Davion Mitchell,11600000
152,Moses Moody,11574075
153,J. Vanderbilt,11571429
154,Matisse Thybulle,11550000
155,Gabe Vincent,11500000
156,Keegan Murray,11144093
157,VJ Edgecombe,11108880
T158,Luke Kennard,11000000
T158,Isaac Okoro,11000000
T158,Luke Kornet,11000000
T158,Maxi Kleber,11000000
T158,Aaron Nesmith,11000000
163,Wendell Carter,10850000
164,Mike Conley,10774038
165,Scoot Henderson,10747994
166,Pat Connaughton,10739683
167,Jordan Clarkson,10651561
168,Reed Sheppard,10603560
169,J. Valanciunas,10395000
170,TJ McConnell,10200000
171,Royce O'Neale,10125000
172,Jaden Ivey,10107163
173,Aaron Wiggins,10102803
174,Sam Hauser,10044644
175,Kon Knueppel,10015680
T176,Lonzo Ball,10000000
T176,Derrick Jones,10000000
178,Amen Thompson,9690212
179,Caleb Martin,9594044
180,Stephon Castle,9560520
181,Buddy Hield,9219512
182,B. Mathurin,9187573
183,Ace Bailey,9069840
T184,Jalen Smith,9000000
T184,Naji Marshall,9000000
186,Ty Jerome,8781000
187,Ausar Thompson,8775162
188,Brook Lopez,8750000
189,Quentin Grimes,8741209
190,Ron Holland,8657280
191,Sam Merrill,8482144
192,Jaylin Williams,8450704
193,Shaedon Sharpe,8399983
194,Kelly Oubre,8382150
195,Goga Bitadze,8333333
196,S. Fontecchio,8307692
197,Kyle Anderson,8300531
198,Tre Johnson,8237640
199,Georges Niang,8200000
200,Zeke Nnaji,8177778
T202,Tre Mann,8000000
T202,Kevon Looney,8000000
T202,Tre Jones,8000000
205,Anthony Black,7970028
206,Tidjane Salaun,7863240
207,Max Christie,7714286
208,Dyson Daniels,7707709
209,Isaiah Jackson,7600000
210,Jeremiah Fears,7520040
211,Ayo Dosunmu,7518518
212,Bilal Coulibaly,7275682
213,Payton Pritchard,7232143
214,Donovan Clingan,7178400
215,Kenrich Williams,7163000
216,Jeremy Sochan,7096231
217,Tyus Jones,7000000
218,Egor Demin,6889200
219,Jevon Carter,6809524
220,Clint Capela,6700000
221,Ousmane Dieng,6670882
222,Jarace Walker,6665406
223,Dean Wade,6623456
224,Jalen Williams,6580997
225,Rob Dillingham,6576120
226,Jalen Duren,6483144
227,Ochai Agbaji,6383525
228,C. Murray-Boyles,6332520
229,Mark Williams,6276531
T230,Day'Ron Sharpe,6250000
T230,Ziaire Williams,6250000
232,Saddiq Bey,6229755
233,John Konchar,6165000
